CLIENTNUM,Attrition_Flag
779530908,0.4
708931908,0.31
712788258,0.0
711927108,0.78
714571008,0.02
716873733,0.55
772323033,0.0
718110858,0.98
716396358,0.01
719720058,0.0
717800358,0.0
719459358,0.01
719219883,0.0
708340758,0.86
718980633,0.01
709518858,0.0
711916533,0.0
712901283,0.65
714169083,0.0
715607958,0.0
808675083,0.04
779447358,0.0
815727183,0.01
715746633,0.02
785038908,0.03
713972658,0.15
714700158,0.01
715749108,0.07
710428308,0.15
806995683,0.24
720597108,0.43
712609533,0.01
780307233,0.03
773177358,0.01
720135333,0.12
716721483,0.58
716726058,0.0
717134058,0.0
789218433,0.0
713010483,0.06
709887483,0.01
708722583,0.0
768364233,0.04
715797783,0.0
721254858,0.0
712747758,0.99
708355683,0.06
713916708,0.04
787921383,0.68
788792583,0.01
718934058,0.64
813967983,0.0
712751133,0.44
714973758,0.16
718252533,0.29
717017808,0.0
719911458,0.0
715502808,0.01
720242733,0.0
802668333,0.66
709530408,0.01
828291858,0.5
780382008,0.02
716728233,0.0
772364358,0.0
708451233,0.01
819409608,0.71
779765058,0.0
712965183,0.02
715341858,0.01
713945883,0.7
720700008,0.0
789880533,0.45
717856983,0.0
711989358,0.0
713792583,0.01
720809358,0.02
720289533,0.0
716319258,0.02
720854358,0.15
772735758,0.01
719859033,0.63
714842208,0.0
713009208,0.0
789314133,0.05
714906033,0.06
822112383,0.0
716207508,0.2
714418158,0.01
709537683,0.81
717382608,0.02
713149683,0.06
708152358,0.64
719455083,0.0
716482533,0.0
717890583,0.0
719234883,0.01
788990508,0.06
709623483,0.0
778340733,0.03
709957158,0.0
718370733,0.02
721351983,0.82
718828083,0.01
772069683,0.0
804833058,0.82
709451508,0.16
713685033,0.92
709381383,0.04
709688883,0.96
773236983,0.15
801048483,0.12
720756708,0.0
780633483,0.0
712204308,0.06
719913783,0.0
799031958,0.0
715361433,0.0
718894233,0.04
719400108,0.03
717631008,0.22
787529583,0.56
716183283,0.01
712505658,0.02
766769058,0.01
779241783,0.06
746453583,0.0
709296558,0.1
791822733,0.0
717541308,0.0
772437633,0.01
719148633,0.08
828227433,0.05
811965558,0.33
713119308,0.0
796145133,0.0
711149133,0.42
803408733,0.04
716567433,0.0
715057383,0.0
712551258,0.9
709587783,0.23
779016408,0.04
714064908,0.0
716129208,0.21
715824108,0.0
716716083,0.0
708248358,0.02
818316108,0.18
719953383,0.0
713240133,0.03
717050883,0.0
716733933,0.03
820353558,0.04
718383183,0.0
802013583,0.02
718083483,0.07
717174558,0.43
708669408,0.04
755593983,0.01
709382958,0.06
718046433,0.07
709019283,0.01
718076733,0.0
771682533,0.0
718697583,0.01
721530633,0.01
709597983,0.0
714729933,0.0
716636808,0.11
721106133,0.0
711164508,0.04
720264783,0.0
718837683,0.58
708664008,0.55
770205708,0.07
716968683,0.02
788811558,0.24
808891983,0.08
720462633,0.28
816826008,0.0
711743883,0.41
718032483,0.0
721112508,0.01
780055308,0.23
788132208,0.0
771529608,0.02
720370533,0.88
710136258,0.87
708797583,0.85
772669833,0.03
806619333,0.0
716244033,0.63
711225933,0.14
716522583,0.18
721129383,0.41
715182108,0.0
789121233,0.01
715416633,0.03
711398433,0.0
774437583,0.19
709082808,0.0
715362183,0.18
714212358,0.49
771674958,0.0
713901108,0.0
710197308,0.0
808897683,0.51
713144208,0.87
709452633,0.12
772390908,0.89
780146658,0.45
788838033,0.66
757881258,0.0
806415183,0.0
779046408,0.03
779783508,0.14
799700208,0.0
709612983,0.66
787643658,0.06
712643358,0.01
716442333,0.0
710903358,0.0
717755058,0.0
818929158,0.52
780251658,0.01
763681908,0.07
806917983,0.02
711740508,0.0
823615983,0.48
720452508,0.01
711607833,0.0
778956033,0.0
719873808,0.15
713246208,0.12
770824833,0.05
717395733,0.0
713639958,0.04
757761033,0.0
787655058,0.0
714753258,0.16
715130808,0.0
710814633,0.25
714283458,0.01
708620283,0.02
827049558,0.0
710232483,0.0
720029508,0.0
817977933,0.36
712405908,0.08
718192608,0.0
719657583,0.7
712268808,0.08
720147633,0.03
778502958,0.34
708507483,0.0
827051808,0.27
717007458,0.0
715829358,0.02
788552658,0.0
758086458,0.02
718043583,0.02
717202908,0.06
713094483,0.0
717287883,0.26
717578358,0.0
708314808,0.01
710520408,0.0
712649058,0.0
713339283,0.02
721178583,0.76
709961958,0.14
768928833,0.12
779340183,0.01
790096533,0.0
711152658,0.0
712375758,0.01
709749483,0.0
721437333,0.9
736786908,0.04
810347208,0.04
711314058,0.19
815908908,0.69
713920158,0.63
720644883,0.0
719042208,0.0
788658483,0.0
708469533,0.0
710115108,0.0
720027258,0.01
806656083,0.0
714411108,0.05
779725833,0.02
788610258,0.1
721301733,0.07
807137808,0.01
779445108,0.09
789270033,0.59
720016308,0.0
807722658,0.0
711128433,0.01
720201033,0.55
718403358,0.03
778143183,0.27
713893308,0.04
716321583,0.03
721359183,0.0
708693558,0.02
715750758,0.0
795155433,0.0
769183908,0.07
773146383,0.05
717114708,0.0
794682483,0.01
779562633,0.05
778919583,0.0
716156508,0.05
714981483,0.0
721473783,0.01
744231708,0.0
712464933,0.02
710687508,0.06
711064008,0.02
765824058,0.01
779739783,0.0
712029783,0.05
721469433,0.0
709714008,0.91
713532858,0.0
756458508,0.0
819051183,0.03
827341383,0.0
789601308,0.02
779192283,0.03
716644008,0.94
715041333,0.11
779320008,0.85
765055833,0.05
779305008,0.0
718872858,0.0
779749908,0.67
819943458,0.26
720142308,0.68
716698608,0.03
714600258,0.02
711507783,0.88
719860308,0.95
714879483,0.64
827901183,0.01
711245433,0.96
719368533,0.0
709945458,0.01
713722608,0.46
821815458,0.0
712216533,0.08
708971583,0.03
779715108,0.06
711890808,0.0
715338783,0.07
789586833,0.0
717469158,0.06
767333808,0.03
713514633,0.84
714684933,0.94
708223383,0.6
716239383,0.0
801064833,0.0
708897408,0.0
708543258,0.01
771516333,0.03
711108408,0.0
718650258,0.01
719018208,0.59
719222133,0.0
820593033,0.0
804820233,0.0
716071233,0.0
815756058,0.0
718163808,0.14
716390958,0.87
779034708,0.03
713718558,0.03
713299758,0.0
714384783,0.9
716421633,0.87
709173108,0.52
794462133,0.0
712740108,0.93
709269708,0.0
779058108,0.03
709274583,0.0
788327358,0.04
717138558,0.31
807209808,0.0
794965233,0.35
783387783,0.11
713264583,0.03
825838908,0.0
779140533,0.02
715498308,0.01
720158208,0.2
717565233,0.0
712404483,0.06
718025808,0.04
719462433,0.0
788848458,0.01
709121283,0.18
721032633,0.39
710036508,0.26
815838633,0.2
717432933,0.0
773155533,0.01
719377383,0.0
710481333,0.26
718913358,0.83
789515283,0.0
717682233,0.0
789368658,0.02
716382708,0.19
814219008,0.0
717812133,0.03
771872733,0.0
715136583,0.0
709984083,0.0
801977733,0.0
709297608,0.87
789407958,0.02
718654533,0.05
778627983,0.39
720553158,0.0
805485933,0.01
778272408,0.7
717585858,0.02
714213708,0.56
709997958,0.72
711027183,0.0
708874533,0.89
779833908,0.0
794554683,0.86
712107783,0.0
798451908,0.02
716592558,0.0
719874633,0.84
714284358,0.03
719446833,0.0
796083783,0.81
817960533,0.0
716931183,0.03
718103733,0.02
798158808,0.03
809068983,0.01
715365183,0.0
720050208,0.15
711560058,0.01
710445183,0.04
715179933,0.02
711508608,0.0
713634108,0.07
719706483,0.28
827898033,0.58
710002833,0.08
716613933,0.0
789533133,0.0
721525758,0.0
772415808,0.0
826808208,0.0
795573333,0.02
716608608,0.01
718513233,0.01
713188383,0.07
710573808,0.01
717208833,0.64
708877458,0.08
789161358,0.13
715187733,0.38
716961933,0.01
719613783,0.0
819997983,0.02
813755658,0.0
715038033,0.09
714514983,0.0
768390708,0.01
779696883,0.19
779737233,0.0
709199358,0.94
714831033,0.03
819616383,0.0
771040758,0.01
720439533,0.0
716668308,0.81
787937058,0.01
715808808,0.01
779689233,0.05
811721133,0.06
712986483,0.05
712176708,0.01
718038483,0.03
710654808,0.75
713021208,0.76
711688158,0.1
778781508,0.57
714926508,0.49
720620058,0.04
788908308,0.02
813961233,0.01
709606158,0.01
809540733,0.0
718197108,0.62
818770008,0.0
709904508,0.0
709200633,0.19
826477083,0.04
793889508,0.19
771232533,0.0
801516183,0.0
710194683,0.17
788776008,0.0
711219333,0.06
717579258,0.73
713709258,0.0
718464258,0.12
716307558,0.62
721256808,0.0
715120608,0.2
720595083,0.0
711359058,0.0
721475133,0.05
720243933,0.99
721005108,0.0
710138883,0.72
711671058,0.84
714234858,0.0
713279808,0.0
712617408,0.05
709350783,0.0
769330908,0.01
719547033,0.95
772643058,0.0
716479233,0.0
757634583,0.0
751563933,0.04
710888883,0.0
814833408,0.13
789125733,0.32
720616908,0.08
715650783,0.02
710701233,0.0
713578608,0.0
711493158,0.0
721080183,0.07
714916758,0.43
719157933,0.0
717251508,0.19
720660558,0.05
771881283,0.0
790021233,0.0
715921758,0.16
823554783,0.03
713121408,0.0
709918158,0.51
716890533,0.06
715490733,0.01
709914858,0.0
708113208,0.01
710497608,0.02
713730933,0.95
708154833,0.92
720885558,0.01
779683683,0.13
779667408,0.0
765731433,0.0
708404883,0.1
716089983,0.0
816864483,0.0
716918508,0.06
708733983,0.56
822885033,0.0
721502958,0.05
718661958,0.0
713989233,0.01
721092783,0.0
778949133,0.0
718161708,0.0
711990933,0.02
715146558,0.67
770293758,0.01
718476033,0.26
716075208,0.07
721183983,0.1
715298808,0.0
818305008,0.0
814086333,0.03
713013483,0.07
711480108,0.07
719474583,0.37
710971908,0.0
713209308,0.02
711175083,0.0
769577358,0.0
715060158,0.01
712572858,0.43
787536933,0.0
778343958,0.01
712350858,0.01
754851783,0.0
712169883,0.0
717490008,0.02
718767183,0.0
710155158,0.74
773356008,0.04
712767858,0.64
772935108,0.39
811076883,0.2
798783858,0.03
711346383,0.03
719845908,0.03
714506583,0.0
799498158,0.0
708626058,0.01
808281483,0.0
810220833,0.02
720827133,0.79
789939558,0.01
711438033,0.27
719612583,0.75
713688933,0.09
719724933,0.01
715672458,0.0
780276258,0.36
719098308,0.43
712381683,0.1
718457058,0.08
720518283,0.0
798788958,0.01
716853258,0.04
710219658,0.0
767574108,0.01
780747033,0.0
713653983,0.0
807030858,0.11
771599283,0.0
717776808,0.18
710180958,0.3
717567333,0.01
758965158,0.0
790186458,0.0
717072108,0.96
769985883,0.13
712294983,0.01
789175683,0.77
815812683,0.0
712198983,0.04
751076058,0.0
712419708,0.11
709950858,0.02
710754933,0.6
711153783,0.04
715168983,0.66
774760458,0.31
804359133,0.01
713520858,0.01
789853533,0.7
714862083,0.12
714093108,0.03
801709308,0.13
790108908,0.07
715749858,0.04
709752183,0.05
770839608,0.0
716053083,0.77
780462183,0.0
710257683,0.0
772857558,0.0
712257258,0.72
771816408,0.0
778659108,0.0
721382208,0.0
715611933,0.04
780378633,0.0
713647083,0.0
772111083,0.0
787430733,0.09
789791808,0.06
711655683,0.06
719609433,0.0
710456658,0.0
718737708,0.0
827948133,0.03
754872333,0.01
784819758,0.02
772143333,0.0
708860358,0.04
820694133,0.74
716782758,0.81
712690458,0.0
709276908,0.02
713956308,0.03
715644633,0.0
714118383,0.1
712961658,0.0
721020858,0.0
715716333,0.03
710159658,0.02
721488858,0.02
715769958,0.0
709330383,0.01
716858433,0.19
712071708,0.05
718243533,0.0
802464033,0.05
771079833,0.0
719296383,0.06
710431158,0.0
715565058,0.08
806226933,0.06
716673258,0.01
788900883,0.0
720903258,0.9
779218233,0.03
715383108,0.09
783020958,0.14
719699208,0.0
713271708,0.0
804424383,0.04
718146258,0.05
718023708,0.01
713227233,0.02
711305208,0.01
720431433,0.0
807986133,0.01
715719033,0.01
787605558,0.0
715303608,0.0
720887058,0.02
710528583,0.14
711147483,0.22
711772008,0.61
716963283,0.68
787507833,0.0
720992883,0.0
717961458,0.0
719926683,0.01
708207783,0.0
711824358,0.03
714575208,0.0
709373883,0.06
716452908,0.03
716593533,0.02
756736008,0.02
716345283,0.0
720043533,0.0
718088133,0.01
769576608,0.0
780040758,0.11
719245983,0.0
712831908,0.08
712545183,0.0
798110358,0.22
712307283,0.4
713315433,0.04
712691883,0.74
721093608,0.02
807587433,0.86
711256908,0.0
719535558,0.0
720682308,0.01
715570533,0.85
717098208,0.15
716570958,0.9
770769483,0.05
709343433,0.0
720338658,0.02
779435883,0.16
771559158,0.0
714041283,0.0
822084333,0.45
714975633,0.01
803957508,0.11
713032233,0.0
721397808,0.01
793608258,0.95
720480183,0.0
717840108,0.81
827643858,0.16
811140933,0.01
714037308,0.0
780657708,0.0
795052083,0.04
751143858,0.0
711838008,0.6
712181658,0.0
709035708,0.17
712110333,0.73
711788583,0.0
821163408,0.0
714924483,0.0
711242058,0.77
714204108,0.2
719527833,0.0
815845758,0.34
717711108,0.0
719990358,0.0
718803333,0.25
712014708,0.0
715573758,0.03
711389358,0.15
779804208,0.07
711456108,0.55
712374708,0.11
713977308,0.06
711377808,0.0
821179233,0.72
716532258,0.07
715843533,0.07
708190158,0.79
717392358,0.01
712115958,0.0
716471508,0.0
709671708,0.02
716118633,0.0
712851108,0.24
714146208,0.0
708584208,0.68
721294533,0.01
709042908,0.17
715948833,0.0
708660408,0.76
801728658,0.16
778706508,0.27
713014533,0.0
713866308,0.01
709140858,0.0
710563458,0.0
785311158,0.0
719465733,0.03
712766208,0.24
714424533,0.92
771688983,0.0
798983508,0.01
749067633,0.02
819690933,0.02
708948483,0.59
711199908,0.0
715547058,0.78
821521983,0.0
715891533,0.01
708668283,0.05
779302233,0.91
710794983,0.02
711816108,0.94
816315558,0.0
708086958,0.07
708369633,0.52
794558658,0.0
711100608,0.73
708225483,0.0
718452633,0.99
708178608,0.07
708747708,0.17
789893808,0.59
720210483,0.0
714010383,0.84
712180308,0.0
716443608,0.0
716372358,0.03
789849108,0.04
772339383,0.0
712503408,0.04
718792758,0.0
752766783,0.0
787747308,0.87
779404383,0.0
767564358,0.0
721461258,0.0
711588708,0.9
716462658,0.38
810974958,0.75
779658408,0.0
717831783,0.37
779980758,0.01
715367058,0.21
812449758,0.99
789627258,0.04
772264383,0.23
771566208,0.0
716181858,0.06
822948708,0.03
712971708,0.01
779701983,0.0
714308283,0.0
717830583,0.0
771354633,0.0
717212958,0.2
714931458,0.0
716355783,0.58
720046458,0.0
795795408,0.02
715928808,0.0
716159958,0.0
713830233,0.01
714576183,0.06
711534183,0.04
712513458,0.02
720458883,0.04
719554758,0.04
713894358,0.07
711416958,0.09
714245358,0.0
789599283,0.02
734924658,0.02
744764433,0.38
715109508,0.0
718939083,0.72
711232608,0.96
713115483,0.96
793456983,0.0
808292958,0.44
711226758,0.08
808279158,0.0
713914683,0.0
710088483,0.01
719981508,0.91
709224033,0.94
787509408,0.28
720605808,0.98
755420433,0.39
802031583,0.01
715396983,0.0
719495958,0.95
807149058,0.0
818987958,0.08
709739283,0.03
718164858,0.0
719999508,0.06
717371583,0.92
801036033,0.01
711948333,0.05
710869008,0.04
789859833,0.0
820925433,0.0
792345258,0.0
709662708,0.07
709327383,0.0
712838358,0.0
708816408,0.03
713796033,0.76
772313358,0.09
709467183,0.12
757266933,0.41
717571683,0.35
717405408,0.0
808045833,0.04
709560258,1.0
718645308,0.0
778915233,0.94
709389558,0.01
770743983,0.0
710466633,0.0
710947683,0.02
713253858,1.0
713461533,0.03
712373208,0.86
712196508,0.26
713696808,0.89
755305683,0.07
772712658,0.03
714454758,0.0
714024858,0.08
788870283,0.0
753118533,0.0
779523258,0.0
787231233,0.03
720714933,0.03
714992733,0.0
719154483,0.04
778939683,0.05
717123858,0.0
824172258,0.0
712644483,0.0
712299858,0.02
714835833,0.0
714022833,0.72
719049033,0.16
711529383,0.0
794510358,0.06
771460158,0.0
708516558,0.0
711717258,0.01
813261408,0.01
811907583,0.07
712064358,0.0
711569433,0.02
716575758,0.89
716322783,0.0
713785608,0.2
708947208,0.0
716063583,0.12
787999533,0.04
713318733,0.87
788977833,0.25
713000058,0.0
780199233,0.01
826061508,0.02
719674533,0.0
717015333,0.0
819647358,0.88
779770683,0.02
807915408,0.0
789347133,0.03
771217758,0.0
720555483,0.02
713330133,0.01
710533233,0.91
710942358,0.01
789945933,0.05
721505358,0.0
711459483,0.0
708911508,0.02
719279208,0.0
717013383,0.08
711627558,0.01
779293308,0.0
718465458,0.04
717403158,0.05
787454133,0.01
713372583,0.04
721399833,0.0
809846283,0.0
710061783,0.3
713314533,0.8
711876333,0.03
720831783,0.01
749211483,0.0
708902883,0.01
712571883,0.32
710809083,0.26
713953383,0.98
711856683,0.0
785237958,0.99
713701533,0.0
713644758,0.0
713814408,0.0
708657033,0.0
714259533,0.01
790174608,0.01
789382758,0.65
798558783,0.0
713285058,0.0
714100008,0.84
772695033,0.48
766322883,0.01
713111883,0.0
819363708,0.0
772382283,0.74
772514808,0.02
789613083,0.02
711583458,0.0
716995083,0.0
716991933,0.67
811974483,0.01
708319908,0.49
720068808,0.0
715815783,0.01
714296358,0.01
713620308,0.06
786557358,0.37
708720558,0.12
796236258,0.01
715195383,0.0
797410983,0.0
719195733,0.01
719449533,0.92
717862308,0.0
779187783,0.18
806908608,0.0
791730183,0.81
714789033,0.44
715960308,0.43
718436133,0.0
717090183,0.09
789193383,0.0
815539233,0.74
710043408,0.01
709548783,0.68
809127858,0.0
716797758,0.42
711852783,0.04
719539458,0.01
721451208,0.76
715517733,0.61
770647233,0.08
718775808,0.0
773332908,0.0
771952683,0.03
720357483,0.0
710555433,0.89
780025908,0.0
715033533,0.02
768720708,0.0
719568333,0.0
709215708,0.1
770662383,0.08
720385608,0.06
812493033,0.02
816533733,0.42
787596558,0.0
720942333,0.5
768457008,0.04
719662458,0.1
798280683,0.0
710443833,0.0
712714008,0.0
718838808,0.05
798988983,0.0
818311533,0.0
719801508,0.0
779625858,0.01
710267583,0.0
812671758,0.78
709225758,0.01
708710283,0.01
794545983,0.02
712877733,0.01
713452533,0.07
719677758,0.06
718394658,0.06
721410858,0.0
828281733,0.0
714121083,0.16
720998358,0.15
709632483,0.0
711780108,0.0
785529708,0.04
720071583,0.59
714035283,0.6
772725408,0.08
715674483,0.1
819752133,0.01
711993258,0.02
708242283,0.08
821356083,0.0
718071933,0.01
758348808,0.05
714217908,0.04
712559058,0.03
711448983,0.92
714964758,0.02
816843933,0.0
772360683,0.11
771246708,0.02
718291233,0.01
721412208,0.0
717182883,0.0
715250583,0.0
720406233,0.0
711799458,0.0
713462508,0.02
716708583,0.73
771497283,0.01
709376508,0.05
821241708,0.81
716147658,0.0
720188508,0.02
780349833,0.11
720163458,0.02
715623483,0.0
713710383,0.17
708112008,0.34
721211433,0.03
720317658,0.0
715701033,0.41
719656533,0.04
717340608,0.01
716170308,0.03
720527058,0.01
710402508,0.03
718304583,0.57
717624708,0.82
714073983,0.36
718100808,0.0
710698233,0.0
710013258,0.0
717721458,0.02
820271208,0.0
789890958,0.12
751974258,0.14
721448283,0.59
823948308,0.02
719338383,0.07
738195708,0.04
710727333,0.95
709971708,0.84
817422408,0.0
779284833,0.0
714893733,0.02
710056758,0.04
708095133,0.21
820633833,0.04
716346183,0.0
720336708,0.02
714496083,0.0
781675983,0.11
715491483,0.03
710295858,0.0
716136333,0.7
788890533,0.04
711296508,0.0
718824783,0.21
717865008,0.02
711205758,0.58
713037333,0.11
802673508,0.97
720562008,0.02
770766633,0.17
709265208,0.01
721062408,0.02
720707283,0.04
718970058,0.02
718819158,0.0
715798608,0.0
778849908,0.02
716108283,0.0
717047583,0.7
771903033,0.0
712256358,0.06
715987758,0.59
721171008,0.0
818906208,0.15
719604858,0.99
768490458,0.7
720655833,0.52
711112683,0.0
779542608,0.16
711289533,0.0
713516433,0.01
779041983,0.01
787339158,0.93
709212183,0.13
803339583,0.01
711325308,0.25
814364808,0.05
711311883,0.0
719672283,0.0
780064983,0.03
712515558,0.02
718397658,0.01
794632308,0.17
717429258,0.96
823629333,0.57
715102308,0.31
759584958,0.68
711954558,0.12
765755283,0.0
821339433,0.01
716212383,0.31
718876683,0.08
711697158,0.05
711977508,0.81
757481283,0.01
820085808,0.0
712319958,0.04
721238508,0.0
795343683,0.0
768420558,0.0
710319108,0.0
714902283,0.42
716631708,0.0
815504583,0.98
809320908,0.01
715851333,0.0
806641683,0.0
720180633,0.0
719074308,0.0
789187908,0.01
708496833,0.86
713943783,0.08
771490833,0.01
710540883,0.09
714798783,0.01
715596783,0.01
713809833,0.0
710664558,0.01
812406183,0.86
789196158,0.03
715581633,0.0
713563383,0.0
713535033,0.0
713974533,0.03
717978033,0.0
714252933,0.0
720009558,0.03
715124958,0.01
744483633,0.21
709408983,0.0
718299933,0.02
719118708,0.73
799720158,0.0
716131083,0.01
715600533,0.0
711613308,0.62
720568083,0.5
771963708,0.75
718037433,0.16
720995583,0.0
713302758,0.01
720771933,0.0
718187508,0.0
709883883,0.0
779353083,0.01
711721458,0.86
713084208,0.93
716564433,0.91
708224133,0.03
803952408,0.01
821336133,0.01
768212583,0.03
719848008,0.05
714081558,0.02
784827108,0.0
787617483,0.01
714034158,0.0
720696558,0.01
712315683,0.43
716229108,0.01
711338058,0.0
772346358,0.0
789370383,0.0
712311258,0.18
823557333,0.01
718963158,0.07
799253808,0.0
787514433,0.0
714878508,0.78
716271183,0.83
715941633,0.02
713906508,0.04
713355708,0.0
711886383,0.79
721039308,0.03
710288883,0.0
713935533,0.01
718875483,0.0
717128283,0.15
794649858,0.1
720474408,0.02
713251008,0.0
790128033,0.04
711453783,0.0
716896833,0.02
718757808,0.0
713984208,0.0
713996283,0.01
811111083,0.1
810493458,0.0
716043258,0.13
789466008,0.09
711047658,0.0
709536483,0.67
789296133,0.08
708621408,0.0
804462633,1.0
812408058,0.02
721468533,0.04
778563858,0.0
710989008,0.0
720964683,0.03
711003483,0.01
718788258,0.0
712867983,0.0
771749733,0.0
719963433,0.0
717028158,0.03
719904333,0.31
785119833,0.09
711683358,0.99
754654383,0.02
711334983,0.93
708222558,0.0
709627983,0.0
811005858,0.18
717443658,0.0
799723908,0.0
718805733,0.03
713259858,0.58
709564683,0.93
714385983,0.0
712011633,0.0
720467583,0.16
712778658,0.01
714766383,0.0
788989083,0.0
719580033,0.06
716751858,0.91
789820308,0.05
716032233,0.0
718808883,0.06
717131283,0.0
779090883,0.0
710542983,0.01
813952233,0.08
712661433,0.17
789298833,0.08
714786483,0.05
710853033,0.02
716194683,0.18
715019883,0.0
789047208,0.0
711099408,0.0
711646908,0.91
717742908,0.05
778207083,0.51
713128833,0.19
788820933,0.01
708997833,0.0
718920708,0.01
712399308,0.16
789923058,0.94
714148758,0.0
711515433,0.0
794530608,0.12
715279683,0.47
772334133,0.02
708866133,0.01
780710433,0.0
716663808,0.01
714351558,0.02
780383358,0.02
779885358,0.02
792565908,0.02
714777858,0.0
794253108,0.01
713063958,0.0
718848183,0.0
713574708,0.0
811697958,0.0
720164358,0.65
719781183,0.03
717568308,0.0
715017858,0.0
720333783,0.07
709219533,0.0
789594108,0.0
771653583,0.04
716028108,0.02
712434708,0.79
711791583,0.92
716219808,0.69
708828258,0.08
708568983,0.02
714702033,0.08
711922158,0.15
768243858,0.9
717592758,0.81
708403308,0.01
716545383,0.01
718641483,0.0
789244308,0.0
801726933,0.0
717511533,0.01
711357858,0.8
713378133,0.02
716466483,0.0
715964058,0.0
712948383,0.09
780942633,0.0
710958033,0.01
718011783,0.01
720152058,0.02
712178883,0.0
719513733,0.0
709993158,0.0
771075258,0.51
771196083,0.18
779307558,0.01
709608708,0.39
714717483,0.11
709603608,0.0
713804058,0.0
717239133,0.0
708549033,0.0
713741358,0.5
713583408,0.54
708514383,0.01
718078008,0.13
721523658,0.04
813427833,0.01
719359458,0.01
710930508,0.05
815598858,0.01
714933783,0.01
780689733,0.03
715447008,0.0
716023533,0.0
711578658,0.13
794172033,0.68
814989933,0.02
708216108,0.05
710166783,0.0
713934633,0.14
710541858,0.01
787573683,0.0
718090233,0.5
715528983,0.01
715217733,0.02
756371058,0.0
770901258,0.18
771222558,0.0
812443458,0.1
718890933,0.93
717291333,0.03
718491708,0.01
795266208,0.0
816890883,0.02
771626283,0.06
711635358,0.07
778865583,0.0
712624383,0.01
720693033,0.91
719502183,0.0
769662033,0.0
720241758,0.12
709434408,0.02
816761433,0.01
820276908,0.94
771190083,0.02
768412608,0.01
804413508,0.01
812247033,0.85
787665258,0.97
716177583,0.0
714076683,0.51
779324358,0.0
